zip_code,lon,lat,city,province
4462EW,3.885394829134636,51.49558256569259,Goes,Zeeland
4191CL,5.297082604501153,51.88665247616052,Geldermalsen,Guelders
7741KS,6.728267334635518,52.658050406373725,Coevorden,Drenthe
6135KD,5.844211624506615,50.99605403899429,Sittard,Limburg
1101AW,4.9408383319481795,52.304317124862315,Amsterdam,North Holland
2381GR,4.49592581514363,52.12940712554437,Zoeterwoude,South Holland
2013HA,4.6271282822001885,52.38117143718937,Haarlem,North Holland
1851LX,4.7479270350514735,52.59121455356498,Heiloo,North Holland
9403AB,6.571145329329426,53.00454132104606,Assen,Drenthe
8028PS,6.167319147462678,52.53835571019331,Zwolle,Overijssel
2941CD,4.692712696691277,51.89870600115827,Lekkerkerk,South Holland
8501ST,5.8165503614866525,52.96304215622096,Joure,Friesland
8013PT,6.128943225256128,52.49356646593517,Zwolle,Overijssel
7101NX,6.722072866289813,51.970895298583585,Winterswijk,Guelders
5764PP,5.8193914569405925,51.55042786792384,De Rips,North Brabant
3861SP,5.4627813700842935,52.23024668596742,Nijkerk,Guelders
7312LM,5.943789331939651,52.20159292736576,Apeldoorn,Guelders
5916PN,6.1903703998841815,51.3901603012788,Venlo,Limburg
6721NB,5.650171771726539,51.99868061829191,Bennekom,Guelders
7913TL,6.537120303119109,52.67247516503464,Hollandscheveld,Drenthe
7711EP,6.238276143817403,52.58534417940055,Nieuwleusen,Overijssel
1688JH,5.036414927353652,52.6895041569098,Nibbixwoud,North Holland
6534AD,5.820254411393719,51.81832140883587,Nijmegen,Guelders
6067AB,5.937873948606161,51.14942583801495,Linne,Limburg
5347KK,5.54443495416985,51.77671665501749,Oss,North Brabant
5831TL,5.939329512942036,51.65345918744767,Boxmeer,North Brabant
6883JN,5.98899946669031,51.98450841507726,Velp,Guelders
3316LC,4.6325584579730235,51.767653638727154,Dordrecht,South Holland
1704RA,4.825699608392542,52.67235731757922,Heerhugowaard,North Holland
7544RG,6.889115186339484,52.19195523197595,Enschede,Overijssel
4061AL,5.399392646317414,51.84614324423237,Ophemert,Guelders
9951CD,6.5131217059253315,53.3313349391986,Winsum,Groningen
9132EA,6.139049124952672,53.32118970033082,Ingwierrum,Friesland
2913LZ,4.598633638283658,51.96924453893108,Nieuwerkerk aan den IJssel,South Holland
1351AG,5.225358631154333,52.3517022637454,Almere,Flevoland
4191PB,5.314881004104878,51.86387049031837,Geldermalsen,Guelders
4205MZ,4.951389738128732,51.8434059210071,Gorinchem,South Holland
8075BJ,5.7906252169167916,52.2929370658193,Elspeet,Guelders
6718XJ,5.598834101214859,52.03404439580166,Ede,Guelders
7325XZ,6.014768076605601,52.22629858128542,Apeldoorn,Guelders
6825DL,5.965091392265673,51.98278556582938,Arnhem,Guelders
3261LJ,4.413631358303304,51.80859155967288,Oud-Beijerland,South Holland
2253BE,4.452829827180126,52.13359734025456,Voorschoten,South Holland
2923TM,4.615803961717605,51.913288308427994,Krimpen aan den IJssel,South Holland
4944VX,4.903619088205831,51.691325470742925,Raamsdonk,North Brabant
2036RD,4.653376823256074,52.3525701135769,Haarlem,North Holland
